date,dcds_price
2004-11,7732.965
2004-12,7762.411999999999
2005-01,7811.1900000000005
2005-02,7955.276666666668
2005-03,8040.866666666666
2005-04,8072.85
2005-05,8061.6275000000005
2005-06,8152.9580000000005
2005-07,8171.258
2005-08,8349.73
2005-09,8687.276
2005-10,9255.264
2005-11,9768.05
2005-12,9969.171666666667
2006-01,10416.8425
2006-02,11173.7225
2006-03,12631.674
2006-04,16770.77
2006-05,18913.7975
2006-06,19479.058
2006-07,19026.045
2006-08,18325.285
2006-09,19094.197999999997
2006-10,17218.21
2006-11,18588.482
2006-12,24094.385
2007-01,30720.590000000004
2007-02,36429.7275
2007-03,38278.755
2007-04,33383.865999999995
2007-05,33870.974
2007-06,33891.60333333333
2007-07,30267.306
2007-08,29283.244
2007-09,30604.962
2007-10,34109.3025
2007-11,33265.159999999996
2007-12,32315.542000000005
2008-01,30437.52
2008-02,28924.676
2008-03,23852.602000000003
2008-04,21944.2125
2008-05,19316.228
2008-06,17281.984
2008-07,18448.788
2008-08,19436.311999999998
2008-09,19441.364
2008-10,17413.53
2008-11,16678.532
2008-12,16441.079999999998
2009-01,16505.325
2009-02,15681.884
2009-03,15811.145999999999
2009-04,16940.558
2009-05,18298.574
2009-06,20086.728
2009-07,20247.365
2009-08,22577.703999999998
2009-09,24619.43
2009-10,25370.281666666666
2009-11,23830.184
2009-12,22173.824
2010-01,23675.494
2010-02,23772.735999999997
2010-03,24292.838
2010-04,24240.816666666666
2010-05,24366.54
2010-06,24320.0
2010-07,24160.6
2010-08,22405.0
2010-09,22094.8
2010-10,21465.75
2010-11,20934.25
2010-12,21435.8
2011-01,21131.25
2011-02,21062.75
2011-03,19094.4
2011-04,18553.75
2011-05,17268.75
2011-06,16969.8
2011-07,15964.25
2011-08,15350.5
2011-09,16464.0
2011-10,15445.75
2011-11,14228.5
2011-12,13277.0
2012-01,12926.5
2012-02,14166.5
2012-03,15112.8
2012-04,15869.0
2012-05,16327.0
2012-06,15641.0
2012-07,15414.5
2012-08,15376.6
2012-09,14656.75
2012-10,14709.5
2012-11,14495.8
2012-12,14739.5
2013-01,16328.8
2013-02,16970.5
2013-03,17019.0
2013-04,17389.5
2013-05,17673.4
2013-06,18358.75
2013-07,18104.25
2013-08,18430.6
2013-09,18445.75
2013-10,18872.002
2013-11,19069.2975
2013-12,19140.1575
2014-01,19798.3525
2014-02,21630.1875
2014-03,22339.7325
2014-04,22139.5225
2014-05,20806.298
2014-06,20810.927499999998
2014-07,21819.652
2014-08,22634.8925
2014-09,23328.03625
2014-10,23018.125652173912
2014-11,22571.623499999998
2014-12,20797.56818181818
2015-01,21235.864999999998
2015-02,21430.431428571428
2015-03,21458.08
2015-04,20994.305263157894
2015-05,20754.124
2015-06,21950.205454545456
2015-07,23214.303913043477
2015-08,22844.295238095237
2015-09,22522.110476190475
2015-10,23580.57590909091
2015-11,24133.477142857144
2015-12,23404.038695652176
2016-01,22752.99409090909
2016-02,23098.13052631579
2016-03,24099.92703703704
2016-04,24493.92916666667
2016-05,25352.157391304347
2016-06,26182.388333333332
2016-07,27825.644090909092
2016-08,28295.626296296297
2016-09,29032.463181818184
2016-10,28898.892727272727
2016-11,28416.830454545456
2016-12,27930.32761904762
2017-01,28584.508823529413
2017-02,29302.7195
2017-03,29977.58181818182
2017-04,30209.867894736843
2017-05,30797.938636363637
2017-06,32075.67
2017-07,32416.595454545455
2017-08,32720.427391304347
2017-09,33588.12368421053
2017-10,34945.458695652174
2017-11,36926.453636363636
2017-12,39253.6315
2018-01,43207.711304347824
2018-02,44013.869375
2018-03,46818.41285714286
2018-04,47639.04789473685
2018-05,42935.36260869565
2018-06,42110.2905
2018-07,38470.864347826086
2018-08,39783.345
2018-09,40389.4485
2018-10,39468.394782608695
2018-11,37101.46857142857
2018-12,37618.611
2019-01,36608.40826086957
2019-02,38233.816666666666
2019-03,38944.01666666666
2019-04,38461.916666666664
2019-05,38311.961363636365
2019-06,37844.98428571429
2019-07,39071.92260869565
2019-08,40312.642857142855
2019-09,40776.48809523809
2019-10,41408.67652173913
2019-11,41691.744
2019-12,40261.921363636364
2020-01,41049.9
2020-02,40146.996
2020-03,34473.09
2020-04,33539.58
2020-05,36500.10428571429
2020-06,38081.98227272727
2020-07,37494.222272727275
2020-08,38268.189090909094
2020-09,40330.43142857143
2020-10,41990.27428571429
2020-11,44383.16272727273
2020-12,49012.917727272725
2021-01,53309.01714285715
2021-02,53597.17133333333
2021-03,55826.52782608695
2021-04,58064.142105263156
2021-05,62415.87095238095
2021-06,67258.36681818182
2021-07,66622.59857142858
2021-08,70317.24652173913
2021-09,72551.126
2021-10,76039.38095238095
2021-11,78761.31181818181
2021-12,77399.74181818182
2022-01,76001.37210526316
2022-02,76718.08529411764
2022-03,77034.00173913044
2022-04,73865.3894736842
2022-05,62711.71
2022-06,62489.200909090905
2022-07,58269.604999999996
